product_name,product_price,original_price,discount_percentage,product_rating,reviews_count,estimated_amount_bought
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 650,700","₦ 870,900",25%,3.9,16,160.0
Hp EliteBook 840 G6 Intel Core I5  Touchscreen 8GB RAM/512GB SSD Win 11 Pro,"₦ 605,000",N/A,N/A,3.6,17,170.0
"Hp PROBOOK 450G6 8TH GEN INTEL CORE I5 8GB RAM 256GB SSD,KEYBOARD LITE, WINDOWS 11PRO","₦ 760,000",N/A,N/A,N/A,1,10.0
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-512GB SSD-Win 10 Pro","₦ 1,148,000","₦ 1,198,000",4%,N/A,1,10.0
"Apple MacBook Pro 14.2"" 8‑core CPU/10‑core 8GB/1TB M3 Chip  - Silver 2023","₦ 2,999,999","₦ 9,999,999",70%,N/A,0,0.0
"Apple MacBook Air 13.3"" 8GB/256GB M1 - Space Grey","₦ 1,300,999","₦ 2,999,999",57%,4.8,36,360.0
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I7-1165G7 Quad-Core-8GB RAM-256GB SSD-Black","₦ 1,185,000","₦ 1,238,000",4%,N/A,0,0.0
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-256GB SSD-Black","₦ 958,000","₦ 1,068,000",10%,N/A,0,0.0
Hp  Stream 11 Pro Intel Celeron 4GB RAM- 64GB HDD WIN 10+ Usb Light,"₦ 145,000","₦ 235,000",38%,2.5,2,20.0
Hp PRO ONE 400 G4 COREI5 8GB RAM,"₦ 720,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 650,000","₦ 770,900",16%,4.3,155,1550.0
"DELL Latitude 3310 Intel®️ Core™️ I5-Quad Core 256GB SSD 16GB RAM 13.3""WIN10 Pro","₦ 880,000","₦ 898,000",2%,N/A,1,10.0
Apple MacBook Pro 14″ 18GB/1TB 18 Core M3 Pro Chip - Silver,"₦ 3,800,999","₦ 6,999,999",46%,N/A,0,0.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 520,000","₦ 990,000",47%,4.6,7,70.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 755,000","₦ 990,000",24%,4.3,4,40.0
"15.6"" Laptop J4125 8GB+256GB SSD Student Portable Computer","₦ 215,563","₦ 386,400",44%,N/A,0,0.0
Lenovo Ideapad 15 Inch Intel® Celeron® 8GB RAM DDR4 -256SSD,"₦ 384,999","₦ 950,000",59%,4.8,8,80.0
"DELL Latitude 3310 11Th Gen Intel®️ Core™️ I5-Quad Core 256GB SSD 8GB RAM 13.3""WIN10 Pro","₦ 850,000","₦ 890,000",4%,N/A,0,0.0
"Power Plus 1,300,000,000mw Ultra Massive Laptop Power Bank","₦ 350,550 - ₦ 578,000","₦ 578,000",39%,3.5,2,20.0
"Hp EliteBook 840 G8  - Core I5-1135G7- 14"" - 512GB SSD-16B RAM","₦ 900,000","₦ 1,500,000",40%,N/A,0,0.0
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-8GB RAM-256GB SSD-Black","₦ 925,000","₦ 978,000",5%,N/A,0,0.0
"14"" Laptop N3350 6GB+192GB SSD Portable Computer Student Pc","₦ 194,340","₦ 289,800",33%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/512 SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 595,000","₦ 770,900",23%,2.3,4,40.0
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD NVIDIA RTX 3050 (4GB) WINS 11","₦ 1,399,500","₦ 1,520,000",8%,4.6,5,50.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 190,000","₦ 300,000",37%,4.1,11,110.0
DELL Latitude 7490 TOUCHSCREEN Intel Core I7- 1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11PRO+BAG,"₦ 790,000","₦ 800,000",1%,4.7,7,70.0
Hp Notebook 11 Pro G5 TOUCHSCREEN-128GB SSD 4GB RAM- Intel Celeron - Windows 10 Pro + Bag,"₦ 220,000","₦ 690,000",68%,4.5,6,60.0
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,"₦ 180,000",N/A,N/A,N/A,5,50.0
Hp Notebook 11 Pro G5 TOUCHSCREEN-256GB SSD 4GB RAM- Intel Celeron - Windows 10 Pro + Bag,"₦ 212,300","₦ 501,350",58%,N/A,42,420.0
"Power Plus Ultra Massive Laptop Power Bank (1,300wh)","₦ 349,600","₦ 580,000",40%,N/A,0,0.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 350,000",29%,4.6,5,50.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 510,000","₦ 900,000",43%,4.5,8,80.0
Hp ProBook 11 X360- TOUCH- 128GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 195,000","₦ 495,000",61%,3.6,8,80.0
"DELL Latitude 7490 Intel Core I5, Keyboard Backlit, 8GB RAM, 256GB SSD Windows 11","₦ 395,000","₦ 600,000",34%,3.8,16,160.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM +Mouse &USB Light,"₦ 215,000","₦ 875,000",75%,4.2,20,200.0
Hp STREAM 11 LAPTOP- CELERON-64GB 4D 4GB RAM Windows 10 PRO+ & USB Light For Keyboard,"₦ 250,000",N/A,N/A,4.4,5,50.0
DELL Latitude 3190 INTEL CELERON128GB SSD 4GB RAM WIN 10 Pro+pouch,"₦ 174,000",N/A,N/A,4.3,6,60.0
Hp EliteBook 840 G5 Intel Core I7-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 750,000","₦ 900,000",17%,3.3,4,40.0
"Hp CHROMEBOOK 11 G4, CELERON, 4GB RAM,16GB SSD + BAG","₦ 120,000","₦ 220,000",45%,N/A,1,10.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 170,000","₦ 340,000",50%,4.3,13,130.0
"DELL LATITUDE 3180, 4GB RAM, 128GB SSD, WINDOWS 11","₦ 190,000","₦ 200,000",5%,4.3,7,70.0
Hp EliteBook 840 G6 Intel Core I5- Backlit Keyboard/FP Reader 16GB RAM/256GB SSD Win 11 Pro + BAG,"₦ 472,850","₦ 960,000",51%,N/A,49,490.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN 10 Pro+ MOUSE & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 950,000",77%,3.6,5,50.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 510,000",N/A,N/A,N/A,1,10.0
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH","₦ 170,000",N/A,N/A,N/A,4,40.0
Hp Stream 11 PRO Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 11 PRO+ USB Light For Keyboard,"₦ 145,000","₦ 234,366",38%,4.7,3,30.0
Hp EliteBook 845 G8 - Ryzen 5 Pro 5650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,"₦ 590,000","₦ 700,000",16%,4.6,14,140.0
"DELL LATITUDE 3190 2in1 , INTEL PENTIUM , TOUCHSCREEN 8GB RAM,128GB SSD+LIGHT","₦ 225,000","₦ 500,000",55%,4.5,2,20.0
Lenovo Ideapad 15 Inch Intel® Celeron® 8GB RAM DDR4 - 256 SSD Windows 11 +USB LIGHT & 32GB Flash,"₦ 384,999","₦ 958,000",60%,4.3,7,70.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit,"₦ 569,000","₦ 900,000",37%,4.3,32,320.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN10 Pro & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 930,000",76%,N/A,1,10.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win 11 Laptop+BAG,"₦ 570,000","₦ 770,000",26%,4.4,34,340.0
Lenovo X360 Convertible Intel Celeron 128GB SSD 4GB Ram Touch+pouch Mouse,"₦ 200,000",N/A,N/A,3.5,2,20.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 280,000",21%,3.6,17,170.0
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,"₦ 228,000",N/A,N/A,3.6,5,50.0
Hp ELITEBOOK 840 G6 TOUCHSCREEN CORE I5 8GB RAM/ 256GB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO,"₦ 515,000","₦ 750,000",31%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro,"₦ 800,000",N/A,N/A,N/A,1,10.0
"WOZIFAN 14.1""Intel Celeron N4020 6GB+256GB,SSD Support To 1 TB，2.4G+5G Wi-Fi,1920*1080 Laptop Blue","₦ 375,300","₦ 1,606,500",77%,3.7,9,90.0
Hp ProBook 11 X360- TOUCH- 128GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro,"₦ 205,000","₦ 400,000",49%,2.5,2,20.0
Hp EliteBook 845 G8 - Ryzen 5 Pro 5650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,"₦ 590,000","₦ 690,000",14%,N/A,1,10.0
Hp Notebook 11 Pro G5 TOUCHSCREEN-512GB SSD 4GB RAM- Intel Celeron - Windows 10 Pro + Bag,"₦ 269,999","₦ 600,000",55%,N/A,2,20.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 510,000",N/A,N/A,3.3,3,30.0
"Hp STREAM 11, INTEL CELERON, 4GB RAM,64GBSSD WINS 10+BAG","₦ 155,000","₦ 250,000",38%,N/A,2,20.0
"DELL Latitude 3190 2in1 X360 INTEL PENTIUM, Touchscreen 128GB SSD 8GB WIN 11 Pro","₦ 220,000","₦ 468,731",53%,N/A,3,30.0
"Hp CHROMEBOOK  INTEL CELERON ,4GB RAM,16GB WINDOWS 10","₦ 120,000","₦ 228,000",47%,3.3,3,30.0
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,"₦ 200,000","₦ 250,000",20%,3.7,3,30.0
"Hp CHROMEBOOK, INTEL CELERON, 4GB RAM,16GB EMMC + BAG","₦ 120,000","₦ 140,000",14%,4.3,4,40.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 349,000",37%,N/A,1,10.0
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 8GB RAM Windows10 Pro + Laptop Pouch,"₦ 290,000",N/A,N/A,4.2,10,100.0
"Hp CHROMEBOOK 11 G5,INTEL CELERON,4GB RAM,32GB EMMC WINS 10","₦ 140,000",N/A,N/A,N/A,0,0.0
"Hp CHROMEBOOK11, CELERON, 4GB RAM,16GB SSD + 32GBFLASH","₦ 120,000","₦ 240,000",50%,4.8,4,40.0
Hp Stream 11 64GB 4GB,"₦ 175,000",N/A,N/A,4.5,2,20.0
"DELL Latitude 3350 Core I3 8GB RAM, 500GB HDD Windows 10pro + Keyboard Flash Light","₦ 450,000","₦ 500,000",10%,4.3,3,30.0
DELL Latitude 3190 INTEL CELERON 256GB SSD 4GB WIN 10 Pro+pouch,"₦ 190,000",N/A,N/A,3.2,6,60.0
Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro +,"₦ 205,000","₦ 400,000",49%,N/A,3,30.0
Hp Stream 11- Intel Celeron - 32GB MMC 2GB RAM On Board Windows10+ 32GB Flash Mouse,"₦ 140,000",N/A,N/A,N/A,2,20.0
Hp EliteBook 830 G6 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 475,000","₦ 778,000",39%,4.5,2,20.0
DELL Latitude 7400 TOUCHSCREEN Intel Core I7- 1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11 PRO+BAG,"₦ 850,000","₦ 876,000",3%,N/A,2,20.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 170,000","₦ 340,000",50%,3.4,7,70.0
Hp ProBook 11 X360- TOUCH Intel Celeron 128GB 4GB RAM WIN10 Pro,"₦ 195,000","₦ 270,000",28%,4.8,6,60.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 349,000",37%,4.3,4,40.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 155,000","₦ 250,000",38%,4.3,4,40.0
Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Mouse,"₦ 205,000","₦ 400,000",49%,2.5,2,20.0
Hp EliteBook 840 G6 Intel Core I5 16GB RAM/512GB SSD/Backlit Keyboard/ Touch FP Reader Wins 11 Pro,"₦ 585,000","₦ 780,900",25%,N/A,16,160.0
"DELL Latitude 3150 Intel Pentium 8GB RAM, 500GB HDD Windows 10 + Keyboard Flash Light","₦ 230,000","₦ 350,000",34%,3.5,12,120.0
DELL Latitude 7490 512GB SSD/16GB RAM/ Intel Core I5/ BACKLIGHT KEYBOARD-WIN 11PRO+BAG,"₦ 430,000","₦ 880,000",51%,N/A,1,10.0
Hp EliteBook 840 G6 TOUCHSCREEN Intel Core I5-16GB RAM/512GB SSD/ Backlit Keyboard/Windows11Pro+BAG,"₦ 530,000","₦ 990,000",46%,N/A,2,20.0
Hp ELITEBOOK X360 1030 G3 INTEL CORE I5 1TB SSD/8GB RAM BACKLIT KEYBOARD FP READER WIN 11 PRO+BAG,"₦ 755,000","₦ 800,000",6%,3.3,3,30.0
Lenovo X360 Convertible,"₦ 201,000",N/A,N/A,N/A,1,10.0
Hp Stream 11 64gb,"₦ 180,000",N/A,N/A,N/A,0,0.0
DELL Latitude 3189 X360 INTEL PENTIUM 128GB SSD 4GB WIN 10 Pro+pouch,"₦ 200,000",N/A,N/A,4.6,12,120.0
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,"₦ 200,000","₦ 250,000",20%,N/A,0,0.0
Hp EliteBook 830 G5 Intel Core I5-32GB RAM/1TB SSD/Backlit TOUCHSCREEN - FP Reader Wins 11 Pro + BAG,"₦ 630,000","₦ 700,000",10%,N/A,2,20.0
Hp EliteBook 840 G5 Intel Core I5-16GB RAM-256GB SSD-Backlit Keyboard 11 Pro+BAG,"₦ 485,000","₦ 590,000",18%,4.4,10,100.0
"Lenovo Thinkpad 11e Intel Celeron, 256GB/8GB Windows 10 Pro + Bag","₦ 300,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 845 G8 - Ryzen 7 Pro 4650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,"₦ 760,000","₦ 900,000",16%,3.5,4,40.0
Lenovo X360 Convertible Intel Celeron 128GB SSD 4GB Ram Touch+pouch Mouse,"₦ 197,000",N/A,N/A,4.3,3,30.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 585,000","₦ 730,000",20%,N/A,2,20.0
"DELL Latitude 7490 Intel Core I5, Keyboard Backlit, 8GB RAM, 256GB SSD Windows 11 + Free Mouse","₦ 380,000","₦ 450,000",16%,N/A,3,30.0
Hp EliteBook 840 G5 TOUCHSCREEN Intel Core I5-16GB RAM/512GB SSD/ Backlit Keyboard/Windows11Pro+BAG,"₦ 535,000","₦ 990,000",46%,N/A,3,30.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 170,000","₦ 340,000",50%,N/A,0,0.0
"Hp CHROMEBOOK  INTEL CELERON ,4GB RAM,32GB WINDOWS 10","₦ 110,000",N/A,N/A,3.8,13,130.0
DELL Latitude 3190 Celeron 128SSD 4GB RAM Wins 10 + Keyboard Flash Light,"₦ 210,000","₦ 250,000",16%,N/A,0,0.0
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA RTX 2050 WINS 11","₦ 1,421,800",N/A,N/A,3.3,4,40.0
DELL Latitude 3190 INTEL CELERON 128GB SSD 4GB WIN 10 Pro+pouch,"₦ 170,000",N/A,N/A,N/A,1,10.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN 10 Pro+ MOUSE & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 820,000",73%,4.3,12,120.0
"Apple MacBook Pro 16.2"" 40 Core 48GB/1TB M3 Max - Black","₦ 6,500,999","₦ 9,999,999",35%,N/A,0,0.0
Hp ELITEBOOK X360 1030 G3 8TH GEN CORE I5 8GB RAM/ 256GB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO,"₦ 590,000","₦ 650,000",9%,N/A,1,10.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 170,000","₦ 340,000",50%,2.5,4,40.0
"DELL Latitude 3190, INTEL PENTIUM 128GB SSD 4GB WIN 10","₦ 200,000","₦ 250,000",20%,2.7,3,30.0
Hp Elitebook 830 G7 Touch Screen Intel Core I7 512SSD/16GB RAM Win 11 Pro,"₦ 890,000","₦ 990,000",10%,3.6,9,90.0
Lenovo Ideapad 15 Inch Intel® Celeron® 8GB RAM DDR4 - 256 SSD Windows 11 + POUCH BAG,"₦ 371,524","₦ 990,000",62%,3.4,5,50.0
Hp CHROMEBOOK 11 INTEL CELERON 4GB RAM 16GB WINS 10+light,"₦ 120,000",N/A,N/A,N/A,0,0.0
"Hp CHROMEBOOK 11 G4,INTEL CELERON,4GB RAM,32GB SSD + BAG","₦ 140,000",N/A,N/A,N/A,1,10.0
"DELL Latitude 3180 Intel Celeron 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light","₦ 200,000","₦ 250,000",20%,3.8,16,160.0
DELL Latitude 7400 512GB SSD/16GB RAM/ Intel Core I7 / BACKLIGHT KEYBOARD-WIN 11 PRO+ BAG,"₦ 650,000","₦ 980,000",34%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 480,000","₦ 965,100",50%,N/A,0,0.0
Hp EliteBook 845 AMD RYZEN 7 PRO - 4750U-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Win11 Pro +BAG,"₦ 630,000","₦ 800,000",21%,4.7,3,30.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 400,000",45%,N/A,0,0.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 190,000",N/A,N/A,N/A,1,10.0
Hp ProBook 11 X360- Touch Intel Pentium 256GB 4GB RAM Win 10,"₦ 200,000",N/A,N/A,N/A,0,0.0
Hp Chromebook 11 Celeron 4gb RAM 16gb Windows10,"₦ 130,000","₦ 145,000",10%,N/A,0,0.0
Hp Stream 11 Pro G4 Intel Celeron - TOUCHSCREEN- 1.1 Up To 2.2 Burst Frequency(4gb Ram 64gb SSD + 1TB One Storage) Education Edition Laptop Windows 10+ USB Light For Keyboard,"₦ 935,000",N/A,N/A,N/A,1,10.0
Hp EliteBook  830 G6 TOUCHSCREEN Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 570,000","₦ 702,000",19%,N/A,0,0.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 800,000",69%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5- 8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop+BAG,"₦ 490,000","₦ 900,000",46%,4.5,22,220.0
Hp ENVY 14 X360 13TH GEN INTEL CORE I7 16GB RAM 1TB SSD BACKLIT KEYBOARD FP READER WINS 11,"₦ 1,590,000",N/A,N/A,N/A,3,30.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN10 Pro & USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 900,000",76%,4.2,5,50.0
Hp PRO ProBook 11 X360 TOUCH INTEL CORE I5 512GB SSD- 8GB RAM Windows 11+ 32GB FLASH & POUCH BAG,"₦ 430,000",N/A,N/A,N/A,0,0.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 400,000",45%,N/A,11,110.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 800,000",69%,N/A,1,10.0
Hp Notebook 15 Laptop Intel Pentium N200 Quad-Core 8GB RAM 128GB SSD 15.6-inch Windows 11 Red,"₦ 396,999","₦ 800,000",50%,N/A,0,0.0
Hp ProBook 11 X360- TOUCH Intel Celeron 512GB 4GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,"₦ 260,549","₦ 620,000",58%,3.8,4,40.0
Hp EliteBook 840 G6 Intel Core I5-12GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 490,000","₦ 800,000",39%,N/A,0,0.0
